Instancia;num_simulations_per_merge;max_simulations_per_route;max_reliability_to_merge_routes;max_percentaje_of_distance_to_do_simulations;num_iterations_stochastic_solution;beta_stochastic_solution;det_reward;stochastic_reward
Instances/Set_64_234/p6.2.n.txt;100;200;0.3;0.6;500;0.3;1104.0;1100.3904
Instances/Set_64_234/p6.2.n.txt;100;200;0.3;0.6;500;0.01;1140.0;1133.4551999999999
Instances/Set_64_234/p6.2.n.txt;100;200;0.3;0.6;500;0.7;1128.0;1129.0752
Instances/Set_64_234/p6.2.n.txt;100;200;0.3;0.6;500;0.6;1152.0;1128.1536
Instances/Set_64_234/p6.2.n.txt;100;200;0.3;0.6;500;0.5;1128.0;1128.5676
Instances/Set_64_234/p6.2.n.txt;100;200;0.3;0.6;5000;0.3;1116.0;1132.8996
Instances/Set_64_234/p6.2.n.txt;100;200;0.3;0.6;500;0.3;1098.0;1117.2
Instances/Set_64_234/p6.2.n.txt;100;200;0.3;0.6;500;0.01;1104.0;1105.9704000000002
Instances/Set_64_234/p6.2.n.txt;100;200;0.3;0.6;500;0.7;1104.0;1116.402
Instances/Set_64_234/p6.2.n.txt;100;200;0.3;0.6;500;0.6;1056.0;1087.191
Instances/Set_64_234/p6.2.n.txt;100;200;0.3;0.6;500;0.5;1122.0;1095.8124
Instances/Set_64_234/p6.2.n.txt;100;200;0.3;0.6;5000;0.3;1086.0;1104.1860000000001
